poet_id,poem_id,v_order,poem_text
5,3258,7,گر درخور عشق آید خرم چو دمشق آید
18,29265,4,ای صدر جهان جهان ندارد چو تویی
4,1652,28,شوی بی‌گزند از بد بدگمان
64,69761,41,گه‌ کلیمی سازد از موسی و در دستش‌ کند
9,36599,319,بسی گفتی و در آخر رسیدی
5,8839,112,پس ز کوزه آن تلابد که دروست
9,33852,210,بگفتند آنچه او را رونمودست
4,1716,259,بی‌آزاری زیردستان گزین
18,15954,55,خصم بد عهدت که کهف ملک را هشتم کسست
9,36612,200,واقف اسرار آن جانان نه‌ای
2,2132,9,من از آن حسن روزافزون که یوسف داشت دانستم
5,8277,53,یعنی ای شاهان شفاعت کین لئیم
10,49648,3,این ترا گویم ای لهاوری
9,11512,1,چو خود را پاک دامن می ندانم
9,37024,2,مرگ دندانش ز هم بگشاده بود
26,20539,4,گر دولت پابوس تو یابم چو رکاب
4,1830,342,بپیچید و رویش پر آژنگ شد
34,24178,47,به زاری گفت چون می‌داد خاتم
42,39897,20,به نگاه ناشکیبی به دل امیدواری
9,36392,70,یقین منصور او را رهنمایست
24,65946,27,کای به خرد گشته سمر تا به چند
2,2149,16,ور بود نیز چه شد مردم بی‌عیب کجاست
9,36885,11,در حرم گاهی که قرب جان بود
5,4564,55,واقفی از سر خود از سر سر واقف نه‌ای
24,66180,22,عشقش بدر از حد قیاس است
9,37028,20,تا که از وی گشت فرزندی پدید
5,3084,4,و آنک بشد غرق عشق قامت و بالای ماست
6,9228,26,که یابد دل ما بدان رهبری
4,1342,16,در نام جستن به گردان سپرد
19,17131,3,هر زمان مست بر سر کویی
9,36462,28,نموده عکس او در جمله عالم
64,69748,34,به جان دشمن بدخواه و حاسد زرّاق
9,11293,19,مکن همچو عطار عمر عزیز
4,1507,841,بننگ از کیان پست کردی سرم
34,61510,10,نه مردمی بود ار مردم دگر گنجد
4,1483,259,غمی گشت و سودابه را خوار کرد
4,1508,136,ز بانگ تبیره نیابند خواب
6,8916,7,که ترسم مریم از بس ناشکیبی
42,40450,4,که اصلش در ضمیر کائنات است
9,36618,81,گر هزاران سال تو زحمت بری
5,5896,21,شاگرد ماه من شو، زیر لواش می‌رو
42,40154,12,لیکن تو نمی بینی طوفان به حباب اندر
63,69317,41,ایا ز گوشۀ تاج تو چرخ جسته علو
6,8932,1,چو خسرو دید ماه خرگهی را
24,66141,134,تو باد صرصری من نفحه مشک
5,4586,2,بر کنار چشمه خفته در میان نسترن
5,4253,17,باده آمد که مرا بیهده بر باد دهد
6,9007,64,هرجا که رسد جگر نوازد
11,13460,10,غیر از چه زند طعنه که اسباب ندارم
5,3971,14,کمترینه عاشق قان الرحیل
