poet_id,poem_id,v_order,poem_text,metre,metre_2
9,37309,929,شرح بسیاری بگفت از کائنات,فاعلاتن فاعلاتن فاعلن,-U---U---U-
34,62218,14,چه جای رفتن باغ است و گشتن بستان,مفاعلن فعلاتن مفاعلن فعلن,U-U-UU--U-U-UU-
9,37296,72,پای خود آرم برون وبر پرم,فاعلاتن فاعلاتن فاعلن,-U---U---U-
6,9174,183,چو گوهر برآمود زنگی به تاج,فعولن فعولن فعولن فعل,U--U--U--U-
5,8021,28,هست جاری دجله‌ای همچون شکر,فاعلاتن فاعلاتن فاعلن,-U---U---U-
12,25308,2,چه آب جویم از جوی خشک یونانی؟,مفاعلن فعلاتن مفاعلن فعلن,U-U-UU--U-U-UU-
7,9901,6,ای خیال ار شبی از رهگذرم برخیزی,فعلاتن فعلاتن فعلاتن فعلن,UU--UU--UU--UU-
34,26220,6,دعای پیر رابات کار خواهد کرد,مفاعلن فعلاتن مفاعلن فعلن,U-U-UU--U-U-UU-
13,13893,45,بترس سخت ز سختی چو کاری آسان شد,مفاعلن فعلاتن مفاعلن فعلن,U-U-UU--U-U-UU-
10,49331,51,که به نزد من این دقل بعیان,فعلاتن مفاعلن فعلن,UU--U-U-UU-
5,4379,16,چونک پاهای آهنین دارم,فعلاتن مفاعلن فعلن,UU--U-U-UU-
13,13993,253,در پیش تو استاده بر این جامهٔ پشمین,مفعول مفاعیل مفاعیل فعولن,--UU--UU--UU--
5,4587,5,در صدای کوه افتد بانگ من چون بشنوی,فاعلاتن فاعلاتن فاعلاتن فاعلن,-U---U---U---U-
6,9165,580,به پرخاش او پی چه خواهی فشرد,فعولن فعولن فعولن فعل,U--U--U--U-
11,13815,274,ولی فرهاد را جانی نو آمد,مفاعیلن مفاعیلن فعولن,U---U---U--
8,10947,36,آفت زدهٔ حوادثی را,مفعول مفاعلن فعولن,--UU-U-U--
9,36384,14,نگهدارش تو این گفتار ما را,مفاعیلن مفاعیلن فعولن,U---U---U--
9,36476,3,شود واصل نبیند جز یکی او,مفاعیلن مفاعیلن فعولن,U---U---U--
9,36579,237,کسی بشناختست اندر عیانی,مفاعیلن مفاعیلن فعولن,U---U---U--
5,4367,6,ز بی‌نشانی اوصاف او نشان داریم,مفاعلن فعلاتن مفاعلن فعلن,U-U-UU--U-U-UU-
10,49443,21,آنکه هر حرف را دلش بُد ظرف,فعلاتن مفاعلن فعلن,UU--U-U-UU-
64,69812,42,هستی تو به پیروزی چون موسیِ عِمران,مفعول مفاعیل مفاعیل فعولن,--UU--UU--UU--
10,12183,13,گاه در خاک خرابات به جان باز نهاد,فعلاتن فعلاتن فعلاتن فعلن,UU--UU--UU--UU-
5,5411,6,تا دهان خاکیان را زان عسل آلوده‌ای,فاعلاتن فاعلاتن فاعلاتن فاعلن,-U---U---U---U-
10,49734,6,هذیان پرسمت نه از وی به,فعلاتن مفاعلن فعلن,UU--U-U-UU-
9,36673,83,خلق را از ظلم سرگردان کنید,فاعلاتن فاعلاتن فاعلن,-U---U---U-
6,9271,1,ای گهر تاج فرستادگان,مفتعلن مفتعلن فاعلن,-UU--UU--U-
7,28300,2,از گلستان اصطفی آدم,فعلاتن مفاعلن فعلن,UU--U-U-UU-
9,36403,366,که کل میبیند اینجا جمله ذرات,مفاعیلن مفاعیلن فعولن,U---U---U--
24,66000,45,زیر ران ابلق تازی راندن,فعلاتن فعلاتن فعلن,UU--UU--UU-
34,26581,1,ای رفته و ترک من بد نام گرفته,مفعول مفاعیل مفاعیل فعولن,--UU--UU--UU--
2,2158,16,کاین گوشه پر از زمزمه چنگ و رباب است,مفعول مفاعیل مفاعیل فعولن,--UU--UU--UU--
7,10369,19,رئیسی که دشمن سیاست نکرد,فعولن فعولن فعولن فعل,U--U--U--U-
