poet_id,poem_id,v_order,poem_text,metre,metre_2
5,4063,38,که من با چو و با تو را نمی‌دانم نمی‌دانم,مفاعیلن مفاعیلن مفاعیلن مفاعیلن,U---U---U---U---
5,8151,56,نیست آن جز حیلهٔ نفس لیم,فاعلاتن فاعلاتن فاعلن,-U---U---U-
13,13975,9,پراپرند زطمع بازو، جغدکان بی‌رنج,مفاعلن فعلاتن مفاعلن فعلن,U-U-UU--U-U-UU-
24,66096,66,ولی شد چار دای از چار یارش,مفاعیلن مفاعیلن فعولن,U---U---U--
9,33851,88,همی جفتی طلب چون چشم آخر!,مفاعیلن مفاعیلن فعولن,U---U---U--
7,9497,16,دستی به کام دل ز سپهر دغا که برد,مفعول فاعلات مفاعیل فاعلن,--U-U-UU--U-U-
7,9579,14,تیغی که ماهروی زند تاج سر بود,مفعول فاعلات مفاعیل فاعلن,--U-U-UU--U-U-
9,36683,96,سرّ نگه میدارتا سرّ باشدت,فاعلاتن فاعلاتن فاعلن,-U---U---U-
4,1505,2359,فرود آمد از کوه و بگذاشت آب,فعولن فعولن فعولن فعل,U--U--U--U-
5,7933,33,ثم یلجینا الی امثالها,فاعلاتن فاعلاتن فاعلن,-U---U---U-
10,12559,109,تو روی شادی افروز و آب غم بر از آن,مفاعلن فعلاتن مفاعلن فعلن,U-U-UU--U-U-UU-
4,1759,15,چنان بد که طینوش رومی ز راه,فعولن فعولن فعولن فعل,U--U--U--U-
9,36382,204,اگرچه مویها بشکافتستم,مفاعیلن مفاعیلن فعولن,U---U---U--
10,12486,13,یارت ای بت صدر دارد زان عزیزست و تو زان,فاعلاتن فاعلاتن فاعلاتن فاعلن,-U---U---U---U-
5,4316,20,می دردهد دودستی چون دستیار دارم,مفعول فاعلاتن مفعول فاعلاتن,--U-U----U-U--
34,24279,75,کاید چو شهان درین عروسی,مفعول مفاعلن فعولن,--UU-U-U--
4,1574,5,سپاهش همه زو توانگر شدند,فعولن فعولن فعولن فعل,U--U--U--U-
4,1381,97,چو بشنید مهراب کرد آفرین,فعولن فعولن فعولن فعل,U--U--U--U-
4,1667,95,همی رای داری که افزون کنی,فعولن فعولن فعولن فعل,U--U--U--U-
9,33295,23,که چون خواهیم فرمانی درآید,مفاعیلن مفاعیلن فعولن,U---U---U--
19,18244,14,گر ندانی چرا نمیری لال؟,فعلاتن مفاعلن فعلن,UU--U-U-UU-
5,8114,33,این جنیدت ره نمود و بایزید,فاعلاتن فاعلاتن فاعلن,-U---U---U-
5,8014,20,دان که دارند از وجود تو ملال,فاعلاتن فاعلاتن فاعلن,-U---U---U-
24,66129,46,به مخزن از ذخایر هیچ نگذاشت,مفاعیلن مفاعیلن فعولن,U---U---U--
13,14067,76,از کوه من بجای گهر پروین,مفعول فاعلات مفاعیلن,--U-U-UU---
64,69515,48,همه سراسر زیرست و بخت تو زبرست,مفاعلن فعلاتن مفاعلن فعلن,U-U-UU--U-U-UU-
52,49213,112,فتاد از کمر مرد بی جان نگون,فعولن فعولن فعولن فعل,U--U--U--U-
34,62378,4,از جان که کند یاد به جایی که تو باشی؟,مفعول مفاعیل مفاعیل فعولن,--UU--UU--UU--
6,9063,35,لشگر انگیخت بیش از اندازه,فعلاتن مفاعلن فعلن,UU--U-U-UU-
5,5289,17,تو اندر باغ‌ها دیدی که گیرد,مفاعیلن مفاعیلن فعولن,U---U---U--
10,49503,29,از صفات سگی تهی کن رگ,فعلاتن مفاعلن فعلن,UU--U-U-UU-
13,13928,41,هر زمان بتر شود حال رمه,فاعلاتن فاعلاتن فاعلن,-U---U---U-
7,9824,2,چنین سنگین دل و سرکش چرایی,مفاعیلن مفاعیلن فعولن,U---U---U--
5,5267,19,ای مریم جان گر تو نه‌ای حامل عیسی,مفعول مفاعیل مفاعیل فعولن,--UU--UU--UU--
9,36579,1496,که آخر دید جانانست در یک,مفاعیلن مفاعیلن فعولن,U---U---U--
4,1508,653,در و دشت و کوه و بیابان سنان,فعولن فعولن فعولن فعل,U--U--U--U-
5,8700,14,باز سوی غیب رفتند ای امین,فاعلاتن فاعلاتن فاعلن,-U---U---U-
5,8695,7,باز خود را سرنگون از کوه او,فاعلاتن فاعلاتن فاعلن,-U---U---U-
5,8633,7,تا در آمد حکم و تقدیر اله,فاعلاتن فاعلاتن فاعلن,-U---U---U-
24,66153,44,چو سرو گلرخ و شمشاد گلرنگ,مفاعیلن مفاعیلن فعولن,U---U---U--
4,1915,73,فزون زین نباشد کسی را سپاه,فعولن فعولن فعولن فعل,U--U--U--U-
4,1778,9,چو خورشید تابان به گنبد رسید,فعولن فعولن فعولن فعل,U--U--U--U-
19,17174,17,اوحدی را چند گویی: بی سر و سامان چراست؟,فاعلاتن فاعلاتن فاعلاتن فاعلن,-U---U---U---U-
10,49321,32,تا بُوَد روح رزق نستاند,فعلاتن مفاعلن فعلن,UU--U-U-UU-
9,36848,9,گرچه نامی بس نکو کردت پدر,فاعلاتن فاعلاتن فاعلن,-U---U---U-
57,64684,14,اگر باور نداری از سخن پرس,مفاعیلن مفاعیلن فعولن,U---U---U--
10,49535,25,دین به زیر کلاه داری تو,فعلاتن مفاعلن فعلن,UU--U-U-UU-
9,33857,187,منم در شیوه و در شیون تو,مفاعیلن مفاعیلن فعولن,U---U---U--
6,9153,88,قدم بر قدم عصمت افکنده فرش,فعولن فعولن فعولن فعل,U--U--U--U-
9,33828,237,نشست القصّه پیش صفّهٔ بار,مفاعیلن مفاعیلن فعولن,U---U---U--
